Task,Model,Accuracy,Precision,Recall,F1
category,Naive Bayes,0.6190476190476191,0.5793650793650793,0.6190476190476191,0.5412698412698413
category,Logistic Regression,0.6666666666666666,0.6888888888888889,0.6666666666666666,0.6166666666666666
category,Linear SVM,0.7142857142857143,0.7047619047619048,0.7142857142857143,0.6611111111111111
priority,Naive Bayes,0.47619047619047616,0.430952380952381,0.47619047619047616,0.3453749315818281
priority,Logistic Regression,0.47619047619047616,0.430952380952381,0.47619047619047616,0.3453749315818281
priority,Linear SVM,0.47619047619047616,0.4619047619047619,0.47619047619047616,0.4272486772486772
